"feature"	"sample"	"value"	"view"
"Pseudomonas"	"VERDY17"	-0.310227400640039	"Bac"
"Staphylococcus"	"VERDY17"	-0.402503561933154	"Bac"
"Caudoviricetes"	"VERDY17"	-0.330508205801147	"Vir"
"ALR_total_bac"	"VERDY17"	-0.154731205855264	"Bac"
"index_shannon_bac"	"VERDY17"	-1.79116247206045	"Bac"
"index_richnes_bac"	"VERDY17"	-1.33826150849539	"Bac"
"ALR_total_bacrep"	"VERDY17"	1.12446057085125	"Bac"
"index_shannon_bacrep"	"VERDY17"	-0.349759929117942	"Bac"
"index_richnes_bacrep"	"VERDY17"	0.0516151232788529	"Bac"
"ALR_total_vir"	"VERDY17"	-0.464897174581678	"Vir"
"index_shannon_vir"	"VERDY17"	-0.713065499816376	"Vir"
"index_richnes_vir"	"VERDY17"	-0.425205762758863	"Vir"
"virulent"	"VERDY17"	1.7726510834058	"Vir"
"temperate"	"VERDY17"	-0.979961483904675	"Vir"
"Undetermined"	"VERDY17"	-1.34328920035641	"Vir"
"Pseudomonas"	"VERDY18"	0.456088712862496	"Bac"
"Staphylococcus"	"VERDY18"	-0.402503561933154	"Bac"
"Caudoviricetes"	"VERDY18"	-0.560477862506402	"Vir"
"ALR_total_bac"	"VERDY18"	-0.312527101775807	"Bac"
"index_shannon_bac"	"VERDY18"	0.108010374626827	"Bac"
"index_richnes_bac"	"VERDY18"	-0.0811067580906297	"Bac"
"ALR_total_bacrep"	"VERDY18"	-0.334630101498852	"Bac"
"index_shannon_bacrep"	"VERDY18"	-0.349759929117942	"Bac"
"index_richnes_bacrep"	"VERDY18"	-0.348402082132257	"Bac"
"ALR_total_vir"	"VERDY18"	-0.613977098958359	"Vir"
"index_shannon_vir"	"VERDY18"	-0.713065499816376	"Vir"
"index_richnes_vir"	"VERDY18"	-0.683664167573074	"Vir"
"virulent"	"VERDY18"	-0.696178753037819	"Vir"
"temperate"	"VERDY18"	0.528999795425899	"Vir"
"Undetermined"	"VERDY18"	0.364432028323676	"Vir"
"Pseudomonas"	"VERDY19"	0.256385551300882	"Bac"
"Staphylococcus"	"VERDY19"	1.11036354037227	"Bac"
"Caudoviricetes"	"VERDY19"	-0.560477862506402	"Vir"
"ALR_total_bac"	"VERDY19"	-0.335320341130031	"Bac"
"index_shannon_bac"	"VERDY19"	-0.855974022140394	"Bac"
"index_richnes_bac"	"VERDY19"	-0.919209925027137	"Bac"
"ALR_total_bacrep"	"VERDY19"	1.00659733166445	"Bac"
"index_shannon_bacrep"	"VERDY19"	3.72058729211318	"Bac"
"index_richnes_bacrep"	"VERDY19"	1.65168394492329	"Bac"
"ALR_total_vir"	"VERDY19"	-0.520104439881628	"Vir"
"index_shannon_vir"	"VERDY19"	-0.713065499816376	"Vir"
"index_richnes_vir"	"VERDY19"	-0.425205762758863	"Vir"
"virulent"	"VERDY19"	-0.696178753037819	"Vir"
"temperate"	"VERDY19"	0.528999795425899	"Vir"
"Undetermined"	"VERDY19"	0.364432028323676	"Vir"
"Pseudomonas"	"VERDY2"	-0.310227400640039	"Bac"
"Staphylococcus"	"VERDY2"	0.957809478851997	"Bac"
"Caudoviricetes"	"VERDY2"	0.245679242395592	"Vir"
"ALR_total_bac"	"VERDY2"	-0.350812999628909	"Bac"
"index_shannon_bac"	"VERDY2"	0.359429494977966	"Bac"
"index_richnes_bac"	"VERDY2"	0.337944825377624	"Bac"
"ALR_total_bacrep"	"VERDY2"	-0.334630101498852	"Bac"
"index_shannon_bacrep"	"VERDY2"	-0.349759929117942	"Bac"
"index_richnes_bacrep"	"VERDY2"	-0.348402082132257	"Bac"
"ALR_total_vir"	"VERDY2"	-0.0913784143258127	"Vir"
"index_shannon_vir"	"VERDY2"	-0.043548809997343	"Vir"
"index_richnes_vir"	"VERDY2"	-0.166747357944652	"Vir"
"virulent"	"VERDY2"	1.7726510834058	"Vir"
"temperate"	"VERDY2"	-0.979961483904675	"Vir"
"Undetermined"	"VERDY2"	-1.34328920035641	"Vir"
"Pseudomonas"	"VERDY20"	-0.295261773841684	"Bac"
"Staphylococcus"	"VERDY20"	-0.402503561933154	"Bac"
"Caudoviricetes"	"VERDY20"	-0.2353202662679	"Vir"
"ALR_total_bac"	"VERDY20"	-0.335235175907702	"Bac"
"index_shannon_bac"	"VERDY20"	0.535755815592504	"Bac"
"index_richnes_bac"	"VERDY20"	0.337944825377624	"Bac"
"ALR_total_bacrep"	"VERDY20"	-0.334630101498852	"Bac"
"index_shannon_bacrep"	"VERDY20"	-0.349759929117942	"Bac"
"index_richnes_bacrep"	"VERDY20"	-0.348402082132257	"Bac"
"ALR_total_vir"	"VERDY20"	-0.403190727652028	"Vir"
"index_shannon_vir"	"VERDY20"	-0.713065499816376	"Vir"
"index_richnes_vir"	"VERDY20"	-0.425205762758863	"Vir"
"virulent"	"VERDY20"	1.7726510834058	"Vir"
"temperate"	"VERDY20"	-0.979961483904675	"Vir"
"Undetermined"	"VERDY20"	-1.34328920035641	"Vir"
"Pseudomonas"	"VERDY21"	-0.10059119070885	"Bac"
"Staphylococcus"	"VERDY21"	-0.402503561933154	"Bac"
"Caudoviricetes"	"VERDY21"	-0.560477862506402	"Vir"
"ALR_total_bac"	"VERDY21"	-0.306664763639127	"Bac"
"index_shannon_bac"	"VERDY21"	1.37130701981228	"Bac"
"index_richnes_bac"	"VERDY21"	2.01415115925064	"Bac"
"ALR_total_bacrep"	"VERDY21"	-0.334630101498852	"Bac"
"index_shannon_bacrep"	"VERDY21"	-0.349759929117942	"Bac"
"index_richnes_bacrep"	"VERDY21"	-0.348402082132257	"Bac"
"ALR_total_vir"	"VERDY21"	-0.613977098958359	"Vir"
