sample	Anelloviridae	Autographiviridae	Caudoviricetes	Demerecviridae	Herelleviridae	Papillomaviridae	Potyviridae	Siphoviridae	Viruses_Unclassified_Unclassified_Unclassified_Unclassified	VDR_total_vir	index_shannon_vir	index_richnes_vir	virulent	temperate	Undetermined	Bacteriophages	Eukaryotic_Viruses
VERDY17	0	0	0.028065077	0	0	0	0	0	0	0.028065077	0	1	100	0	0	0.028065077	0
VERDY18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY19	0	0	0	0	0	0	0	0	0.01767202	0.01767202	0	1	0	0	0	0	0
VERDY2	0	0	0.098381941	0	0	0	0	0	0	0.098381941	0.552136416	2	100	0	0	0.098381941	0
VERDY20	0	0	0.039681639	0	0	0	0	0	0	0.039681639	0	1	100	0	0	0.039681639	0
VERDY21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY23	0	0	0.033352458	0	0	0	0	0	0	0.033352458	0	1	100	0	0	0.033352458	0
VERDY24	0	0	0.077986116	0	0.128239013	0	0	0	0	0.206225129	1.17954037	5	28.19958618	0	71.80041382	0.206225129	0
VERDY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY33	0	0	0.504088053	0	0	0.039698786	0	0	0.01315662	0.55694346	2.248470853	12	37.40371565	45.05680581	17.53947854	0.504088053	0.039698786
VERDY34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY35	0	0	0.206631803	0	0	0	0.206907013	0	0	0.413538816	2.505855928	15	34.76297601	41.59725781	23.63976618	0.206631803	0.206907013
VERDY36	0	0	0.195996812	0	0	0	0	0	0	0.195996812	2.324448628	11	22.75934892	47.13625616	30.10439492	0.195996812	0
VERDY37	0.045726614	0	0.400900496	0	0	0.076560823	0	0	0	0.523187933	1.507264696	5	41.30122019	58.69877981	0	0.400900496	0.122287437
VERDY38	0	0	0.155128208	0	0	0	0	0	0	0.155128208	1.297266579	4	37.84695249	50.89324036	11.25980715	0.155128208	0
VERDY39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY4	0	0	0.038226044	0	0	0	0	0	0	0.038226044	1.074888116	3	56.41075543	0	43.58924457	0.038226044	0
VERDY40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY49	0	0.010636035	0.200727221	0	0	0	0	0	0	0.211363256	0.857083714	3	48.15999824	0	51.84000176	0.211363256	0
VERDY5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY51	0	0	0.012890606	0	0	0	0	0	0	0.012890606	0	1	100	0	0	0.012890606	0
VERDY52	0.034264105	0	0.010129242	0	0	0	0	0	0	0.044393347	0.537055978	2	100	0	0	0.010129242	0.034264105
VERDY53	0	0.122437351	0.101459446	0	0	0	0	0	0	0.223896797	1.889058734	7	82.04107173	0	17.95892827	0.223896797	0
VERDY54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY55	0	0	0.01674537	0	0	0	0	0	0	0.01674537	0	1	100	0	0	0.01674537	0
VERDY6	0	0	0	0	0	0	0	0	0.708365807	0.708365807	1.597835613	5	0	0	0	0	0
VERDY65	0	0	0	0	0	0.059061877	0	0	0	0.059061877	0.658650857	2	0	0	0	0	0.059061877
VERDY66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERDY9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
