SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	235	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5939	0	232
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	1039	0	31652	344	19	0	20	0	0	0	0	20	449	0	0	0	0	31	0	0	0	29	4	387	0	0	0	45629	177985	39	0	0	388	599	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	0	0	28193	283	0	0	0	0	16	0	24	0	348	0	0	10	7	0	39	0	8	0	0	296	0	0	0	37755	146479	0	0	0	415	576	8
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	8398	1523	102	13	915	13709	19	19	7	552	236	3427	3171	3025	4817	727	190	3811	22	18	180	5984	64	2040	1653	2460	553	0	1426	1614	2163	1427	0	268109	306	8940
"Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; NA"	0	25	0	0	0	0	0	0	0	0	0	33	21	0	5	0	0	0	0	0	0	0	116588	0	0	4	0	0	26	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; NA; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	1478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	17	0	0	0	0	1098	22801	0	650	131	0	0	0	212	0	0	3458	0	0	18	2327	0	307	63	0	0	0	0	40	0	2644	0	0	239	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Diaphorobacter; NA"	19788	0	0	0	0	0	25443	0	0	0	0	0	0	0	2	211	0	4136	0	0	0	0	0	0	32	649	0	0	0	0	0	476	8	0	667	815
