SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
[Acidovorax] ebreus	0.313	0	0.1132	0	0	0	0	20.9319	2.5587	0	0	0	0.4079	3.1484	0	0.2394	0	0	0	0	0	0	0	0	0	1.4561	0	0	0	0.0879	0	0	0.2301	0	1.7256	0.208	0	44.8623	0	0	0.1099	0.4474
[Clostridium] hylemonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Mycoplasma] testudinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ochrobactrum] quorumnocens	2.1908	0	0.566	0.3633	0.1766	0	0	0.9889	0	0	0.2968	0.5505	0	0	0	0	0.7431	0	0	0	0.2549	0	0	0.5809	39.4596	0.257	0	0	0	0.2637	0	1.3825	0	0	0	1.4558	3.9512	0.1994	0	0.0988	0.3296	0
[Pseudomonas] carboxydohydrogena	0	0	0	0	0	0	0	0	0	1.3279	0	0.9633	0	0.1431	2.4222	0	0	0	0	0	0	0.8965	0	0	0	15.8459	0	0	0	0.0879	0	36.6367	0	0.3026	0	8.3187	0	0	0	0	0.2198	0
Abyssicoccus albus	0	0	0	0	0	0	0	0	0.6397	0	0	0	0	0	0	0	0	0	0	0	0	0.2241	0	0	0	0	0	0	0	0	36.0252	0	0	0	5.6083	0	0	0	1.3158	0	0	0
Acetobacter pasteurianus	0	0	0	0	0	0	1.967	0	0	0	0	0	0	1.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter deleyi	0	0	0	0	0.1766	0	0	0.3296	0	7.3034	0	0.1376	0	0	0	0	0	0	0	0	0.2549	0	0	0	0.0802	0.5139	0	0	0	0	0.2669	0	0	0	0.8628	0.6239	0	0	0.1196	0.3953	0.5494	0.7457
Achromobacter denitrificans	0.1565	0.2366	0.566	0	0.5299	0.4704	0.1093	1.6482	0	0	0	0	0	0.4293	0	0	0	0	0	0	0.6372	0	0	0.8714	0	0.0857	0	0	0	0.0879	0.5337	0	0.2301	2.2694	0.8628	0	0	0	0.1196	4.842	0.6593	2.8336
Achromobacter insolitus	0	0	0	0	0	0	0.1093	0.8241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2905	0	0	0	0	0	0.2637	0.2669	0	0	0	0	0	0.3951	0	0	90.6142	0.2198	0
