SAMPLEID	NT_VERDY10	NT_VERDY11	NT_VERDY12	NT_VERDY13	NT_VERDY14	NT_VERDY15	NT_VERDY16	VERDY17	VERDY18	VERDY19	VERDY1	VERDY20	VERDY21	VERDY22	VERDY23	VERDY24	NT_VERDY25	NT_VERDY26	NT_VERDY27	NT_VERDY28	NT_VERDY29	VERDY2	NT_VERDY30	NT_VERDY31	NT_VERDY32	VERDY33	VERDY34	VERDY35	VERDY36	VERDY37	VERDY38	VERDY39	VERDY3	VERDY40	NT_VERDY41	VERDY42	NT_VERDY43	NT_VERDY44	NT_VERDY45	NT_VERDY46	NT_VERDY47	NT_VERDY48	VERDY49	VERDY4	VERDY50	VERDY51	VERDY52	VERDY53	VERDY54	VERDY55	VERDY56	NT_VERDY57	NT_VERDY58	NT_VERDY59	VERDY5	NT_VERDY60	NT_VERDY61	NT_VERDY62	NT_VERDY63	NT_VERDY64	VERDY65	VERDY66	VERDY67	VERDY68	VERDY69	VERDY6	VERDY70	VERDY71	VERDY72	NT_VERDY73	NT_VERDY74	NT_VERDY75	NT_VERDY76	NT_VERDY77	NT_VERDY78	NT_VERDY79	VERDY7	NT_VERDY80	VERDY8	VERDY9
"Viruses; Lenarviricota; Leviviricetes; Norzivirales; Fiersviridae; Emesvirus; Emesvirus zinderi"	4.58313509	7.63584467	8.463443	19.55914476	16.07399595	67.2605366	6.37387161	0.32689417	2.05865831	7.74433269	16.4941463	1.96127735	0.99097078	1.05683612	0.8080709	24.64813873	4.156548	7.10802355	14.90602442	3.75624748	59.1262135	34.7671837	6.98070563	6.95808663	5.29031718	3.80036806	76.6543529	45.4326263	25.4271031	4.5959668	5.99852167	149.669216	39.577782	56.59948852	25.9018886	14.22940301	10.91455248	11.72710723	10.260696	18.57697177	9.61944008	12.5603877	1.35932236	0.73795304	0.90563607	1.0392917	13.38765437	12.92564718	1.73970375	219.58129	241.4672093	26.3905041	23.3428641	97.187629	14.62728384	39.8502486	12.830624	30.1632001	9.35388936	10.54988724	8.11594594	80.778676	43.08805717	10.84645247	7.76538218	0.38724667	384.208164	421.9390488	392.432466	156.2458155	19.5519741	11.85277251	26.1563328	32.842532	19.4977752	17.38967745	0.87316981	12.56548491	16.57667915	0.17774298
"Viruses;Viruses_Unclassified;Viruses_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified; NAO116"	0	0	0	0	0	0	0	0.0022805	0	0	0	0	0	0	0	0	0	0	0.202965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649943	0.0022805	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Duplopiviricetes; Durnavirales; Partitiviridae; Partitiviridae_Unclassified; Partitiviridae_Unclassified_Unclassified; NAO117"	0	0.0451613	0	0	0	0	0.00430108	0	0	0	0	0	0	0	0.00215054	0	0	0	0	0	0	0	0	0	0.00430108	0.00215054	0.00430108	0.00430108	0.00107527	0	0	4.52151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322581	0	0	0	0	0	0	0	0	0.00860215	0.370968	0	0	0	0	0	0	0	0.00215054	0	0	0	0	0	0	0	0.00215054	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO2"	0.876147	0.00183486	0	0.00183486	0	0.00366972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183486
"Viruses;Viruses_Unclassified;Viruses_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified; NAO3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508806	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337268	0	0	0	0	0	0.505902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Retroviridae_Unclassified; Human endogenous retrovirus K; unclassified RetroviridaeO6"	0	0	0	0	0	0	0	0.0466563	0.0155521	0.00311042	0.0808709	0.0186625	0.0746501	0.00466563	0.0279938	0.0139969	0	0	0	0	0	0	0	0.00311042	0	0.0326594	0.0279938	0.0202177	0.00311042	0.0186625	0.00466563	0	0	0.0186625	0	0	0	0	0	0	0.00622084	0	0.00622084	0.0217729	0.0933126	0.111975	0	0.0248834	0.00933126	0.00311042	0	0	0	0	0.118196	0	0	0	0	0	0.0311042	0	0.0186625	0.00622084	0.0155521	0.0155521	0	0	0	0	0	0	0	0	0	0	0.00933126	0	0.0186625	0.00933126
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Mimasvirus; Mimasvirus_Unclassified; NAO7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06211	0.0916149	0.310559	0.770186	0.11646	1.70342	0	0.0636646	0.236025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0617284	0.0246914	0	0.00308642	0	0.319444	0	0	0	0	0	0	0	0	0	0	0	0	0.0339506	0	0	0	0	0	0	0.00308642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Retroviridae_Unclassified; Human endogenous retrovirus K; unclassified RetroviridaeO9"	0	0	0	0	0	0	0	0.0345821	0.00576369	0.00576369	0.0864553	0.00864553	0.0489914	0.229107	0.0288184	0.0417867	0	0	0	0	0	0.0259366	0	0	0.0216138	0.100865	0.073487	0.304035	0.0648415	0.056196	0.0461095	0.074928	0.00864553	0	0	0	0	0	0	0	0.00864553	0	0.0288184	0.0432277	0.0518732	0.0273775	0.0317003	0.0230548	0.00576369	0.00288184	0	0	0	0	0.0201729	0	0	0	0	0	0.0475504	0.00576369	0.00288184	0.00864553	0.0345821	0.0273775	0	0	0	0	0	0	0	0	0	0	0.0806916	0	0.0230548	0.00864553
