P;T
VERDY1;NT_VERDY73
VERDY2;NT_VERDY73
VERDY3;NT_VERDY10
VERDY4;NT_VERDY74
VERDY5;NT_VERDY11
VERDY6;NT_VERDY12
VERDY7;NT_VERDY13
VERDY8;NT_VERDY14
VERDY9;NT_VERDY15
VERDY17;NT_VERDY25
VERDY18;NT_VERDY25
VERDY19;NT_VERDY26
VERDY20;NT_VERDY27
VERDY21;NT_VERDY28
VERDY22;NT_VERDY29
VERDY23;NT_VERDY30
VERDY24;NT_VERDY31
VERDY33;NT_VERDY41
VERDY34;NT_VERDY41
VERDY35;NT_VERDY43
VERDY36;NT_VERDY44
VERDY37;NT_VERDY45
VERDY38;NT_VERDY46
VERDY39;NT_VERDY47
VERDY40;NT_VERDY57
VERDY49;NT_VERDY58
VERDY50;NT_VERDY59
VERDY51;NT_VERDY60
VERDY52;NT_VERDY61
VERDY53;NT_VERDY61
VERDY54;NT_VERDY62
VERDY55;NT_VERDY63
VERDY65;NT_VERDY75
VERDY66;NT_VERDY76
VERDY67;NT_VERDY77
VERDY68;NT_VERDY78
VERDY69;NT_VERDY79
;NT_VERDY16
;NT_VERDY32
;NT_VERDY48
;NT_VERDY64
;NT_VERDY80
