sample;SampleID;PlateNumber;Subject;Habitat;quant_reading;Sample_or_Control
VERDY3;VERDY3;1;1;nasopharyngeal;0;True Sample
VERDY6;VERDY6;1;1;nasopharyngeal;0;True Sample
VERDY24;VERDY24;3;1;nasopharyngeal;0;True Sample
VERDY4;VERDY4;2;1;nasopharyngeal;0;True Sample
NT1;NT1;2;1;nasopharyngeal;0;Control Sample
NT2;NT2;2;1;nasopharyngeal;0;Control Sample
NT3;NT3;4;1;nasopharyngeal;0;Control Sample
NT4;NT4;4;1;nasopharyngeal;0;Control Sample
NT5;NT5;4;1;nasopharyngeal;0;Control Sample
VERDY5;VERDY5;4;1;nasopharyngeal;0;True Sample
VERDY7;VERDY7;4;1;nasopharyngeal;0;True Sample
VERDY2;VERDY2;4;1;nasopharyngeal;0;True Sample
VERDY8;VERDY8;2;1;nasopharyngeal;0;True Sample
VERDY21;VERDY21;2;1;nasopharyngeal;0;True Sample
VERDY33;VERDY33;2;1;nasopharyngeal;0;True Sample
VERDY34;VERDY34;4;1;nasopharyngeal;0;True Sample
VERDY35;VERDY35;4;1;nasopharyngeal;0;True Sample
VERDY36;VERDY36;1;1;nasopharyngeal;0;True Sample
VERDY38;VERDY38;4;1;nasopharyngeal;0;True Sample
VERDY39;VERDY39;4;1;nasopharyngeal;0;True Sample
VERDY51;VERDY51;4;1;nasopharyngeal;0;True Sample
VERDY40;VERDY40;4;1;nasopharyngeal;0;True Sample
VERDY49;VERDY49;3;1;nasopharyngeal;0;True Sample
VERDY53;VERDY53;4;1;nasopharyngeal;0;True Sample
VERDY20;VERDY20;1;1;nasopharyngeal;0;True Sample
VERDY37;VERDY37;4;1;nasopharyngeal;0;True Sample
VERDY65;VERDY65;4;1;nasopharyngeal;0;True Sample
VERDY66;VERDY66;4;1;nasopharyngeal;0;True Sample
VERDY9;VERDY9;2;1;nasopharyngeal;0;True Sample
VERDY17;VERDY17;4;1;nasopharyngeal;0;True Sample
VERDY54;VERDY54;1;1;nasopharyngeal;0;True Sample
VERDY19;VERDY19;1;1;nasopharyngeal;0;True Sample
VERDY18;VERDY18;3;1;nasopharyngeal;0;True Sample
VERDY52;VERDY52;4;1;nasopharyngeal;0;True Sample
VERDY23;VERDY23;4;1;nasopharyngeal;0;True Sample
VERDY55;VERDY55;4;1;nasopharyngeal;0;True Sample
