sample;SampleID;PlateNumber;Subject;Habitat;quant_reading;Sample_or_Control
VERDY1;VERDY1;1;1;nasopharyngeal;0;True Sample
VERDY2;VERDY2;1;1;nasopharyngeal;0;True Sample
VERDY3;VERDY3;1;1;nasopharyngeal;0;True Sample
VERDY4;VERDY4;3;1;nasopharyngeal;0;True Sample
VERDY5;VERDY5;3;1;nasopharyngeal;0;True Sample
VERDY6;VERDY6;3;1;nasopharyngeal;0;True Sample
VERDY7;VERDY7;2;1;nasopharyngeal;0;True Sample
VERDY8;VERDY8;2;1;nasopharyngeal;0;True Sample
VERDY9;VERDY9;2;1;nasopharyngeal;0;True Sample
VERDY17;VERDY17;4;1;nasopharyngeal;0;True Sample
VERDY18;VERDY18;4;1;nasopharyngeal;0;True Sample
VERDY19;VERDY19;4;1;nasopharyngeal;0;True Sample
VERDY20;VERDY20;4;1;nasopharyngeal;0;True Sample
VERDY21;VERDY21;4;1;nasopharyngeal;0;True Sample
VERDY22;VERDY22;2;1;nasopharyngeal;0;True Sample
VERDY23;VERDY23;3;1;nasopharyngeal;0;True Sample
VERDY24;VERDY24;4;1;nasopharyngeal;0;True Sample
VERDY33;VERDY33;2;1;nasopharyngeal;0;True Sample
VERDY34;VERDY34;2;1;nasopharyngeal;0;True Sample
VERDY35;VERDY35;2;1;nasopharyngeal;0;True Sample
VERDY36;VERDY36;4;1;nasopharyngeal;0;True Sample
VERDY37;VERDY37;4;1;nasopharyngeal;0;True Sample
VERDY38;VERDY38;1;1;nasopharyngeal;0;True Sample
VERDY39;VERDY39;4;1;nasopharyngeal;0;True Sample
VERDY40;VERDY40;4;1;nasopharyngeal;0;True Sample
VERDY49;VERDY49;4;1;nasopharyngeal;0;True Sample
VERDY50;VERDY50;4;1;nasopharyngeal;0;True Sample
VERDY51;VERDY51;4;1;nasopharyngeal;0;True Sample
VERDY52;VERDY52;3;1;nasopharyngeal;0;True Sample
VERDY53;VERDY53;4;1;nasopharyngeal;0;True Sample
VERDY54;VERDY54;1;1;nasopharyngeal;0;True Sample
VERDY55;VERDY55;4;1;nasopharyngeal;0;True Sample
VERDY65;VERDY65;4;1;nasopharyngeal;0;True Sample
VERDY66;VERDY66;4;1;nasopharyngeal;0;True Sample
VERDY67;VERDY67;2;1;nasopharyngeal;0;True Sample
VERDY68;VERDY68;4;1;nasopharyngeal;0;True Sample
VERDY69;VERDY69;1;1;nasopharyngeal;0;True Sample
NT_VERDY16;NT_VERDY16;1;1;nasopharyngeal;0;Control Sample
NT_VERDY32;NT_VERDY32;3;1;nasopharyngeal;0;Control Sample
NT_VERDY48;NT_VERDY48;4;1;nasopharyngeal;0;Control Sample
NT_VERDY64;NT_VERDY64;4;1;nasopharyngeal;0;Control Sample
NT_VERDY80;NT_VERDY80;4;1;nasopharyngeal;0;Control Sample
NT_VERDY73;NT_VERDY73;4;1;nasopharyngeal;1;Control Sample
NT_VERDY10;NT_VERDY10;4;1;nasopharyngeal;3;Control Sample
NT_VERDY74;NT_VERDY74;4;1;nasopharyngeal;4;Control Sample
NT_VERDY11;NT_VERDY11;4;1;nasopharyngeal;5;Control Sample
NT_VERDY12;NT_VERDY12;4;1;nasopharyngeal;6;Control Sample
NT_VERDY13;NT_VERDY13;4;1;nasopharyngeal;7;Control Sample
NT_VERDY14;NT_VERDY14;4;1;nasopharyngeal;8;Control Sample
NT_VERDY15;NT_VERDY15;4;1;nasopharyngeal;9;Control Sample
NT_VERDY25;NT_VERDY25;4;1;nasopharyngeal;10;Control Sample
NT_VERDY26;NT_VERDY26;4;1;nasopharyngeal;12;Control Sample
NT_VERDY27;NT_VERDY27;4;1;nasopharyngeal;13;Control Sample
NT_VERDY28;NT_VERDY28;4;1;nasopharyngeal;14;Control Sample
NT_VERDY29;NT_VERDY29;4;1;nasopharyngeal;15;Control Sample
NT_VERDY30;NT_VERDY30;4;1;nasopharyngeal;16;Control Sample
NT_VERDY31;NT_VERDY31;4;1;nasopharyngeal;17;Control Sample
NT_VERDY41;NT_VERDY41;4;1;nasopharyngeal;18;Control Sample
NT_VERDY43;NT_VERDY43;4;1;nasopharyngeal;20;Control Sample
NT_VERDY44;NT_VERDY44;4;1;nasopharyngeal;21;Control Sample
NT_VERDY45;NT_VERDY45;4;1;nasopharyngeal;22;Control Sample
NT_VERDY46;NT_VERDY46;4;1;nasopharyngeal;23;Control Sample
NT_VERDY47;NT_VERDY47;4;1;nasopharyngeal;24;Control Sample
NT_VERDY57;NT_VERDY57;4;1;nasopharyngeal;25;Control Sample
NT_VERDY58;NT_VERDY58;4;1;nasopharyngeal;26;Control Sample
NT_VERDY59;NT_VERDY59;4;1;nasopharyngeal;27;Control Sample
NT_VERDY60;NT_VERDY60;4;1;nasopharyngeal;28;Control Sample
NT_VERDY61;NT_VERDY61;4;1;nasopharyngeal;29;Control Sample
NT_VERDY62;NT_VERDY62;4;1;nasopharyngeal;31;Control Sample
NT_VERDY63;NT_VERDY63;4;1;nasopharyngeal;32;Control Sample
NT_VERDY75;NT_VERDY75;4;1;nasopharyngeal;33;Control Sample
NT_VERDY76;NT_VERDY76;4;1;nasopharyngeal;34;Control Sample
NT_VERDY77;NT_VERDY77;4;1;nasopharyngeal;35;Control Sample
NT_VERDY78;NT_VERDY78;4;1;nasopharyngeal;36;Control Sample
NT_VERDY79;NT_VERDY79;4;1;nasopharyngeal;37;Control Sample
