"";"sample";"Eukaryote";"Unclassified";"Undetermined";"temperate";"virulent";"bacteriophages";"eukaryotes";"virulent_rel";"temperate_rel";"Undetermined_rel"
"1";"VERDY17";0;0;0;0;0,0280650768412297;0,0280650768412297;0;1;0;0
"2";"VERDY18";0;0;0;0;0;0;0;0;0;0
"3";"VERDY19";0;0,0176720197179442;0;0;0;0;0;0;0;0
"4";"VERDY2";0;0;0;0;0,0983819405539022;0,0983819405539022;0;1;0;0
"5";"VERDY20";0;0;0;0;0,0396816391113679;0,0396816391113679;0;1;0;0
"6";"VERDY21";0;0;0;0;0;0;0;0;0;0
"7";"VERDY23";0;0;0;0;0,0333524580319856;0,0333524580319856;0;1;0;0
"8";"VERDY24";0;0;0,18423336661771;0;0,0219917619718785;0,206225128589588;0;0,106639584236335;0;0,893360415763665
"9";"VERDY3";0;0;0;0;0;0;0;0;0;0
"10";"VERDY33";0,0396987864380694;0,0131566204142869;0,140946444985007;0,198422234390485;0,164719373666608;0,5040880530421;0,0396987864380694;0,326767065143778;0,393626139705226;0,279606795150996
"11";"VERDY34";0;0;0;0;0;0;0;0;0;0
"12";"VERDY35";0,206907012989474;0;0,0488472752014338;0,0859531640061447;0,0718313642588141;0,206631803466393;0,206907012989474;0,347629760055291;0,41597257810376;0,236397661840949
"13";"VERDY36";0;0;0,0590036542542669;0,0923855592745383;0,0446075982599842;0,195996811788789;0;0,227593489163764;0,471362561622151;0,301043949214085
"14";"VERDY37";0,122287436889231;0;0;0,235323699330817;0,165576796573936;0,400900495904753;0,122287436889231;0,413012201943681;0,586987798056319;0
"15";"VERDY38";0;0;0,0174671370321148;0,0789497716721006;0,0587112991124695;0,155128207816685;0;0,378469524909671;0,50893240361157;0,112598071478759
"16";"VERDY39";0;0;0;0;0;0;0;0;0;0
"17";"VERDY4";0;0;0,0166624438803032;0;0,0215636002812949;0,0382260441615981;0;0,564107554266829;0;0,435892445733171
"18";"VERDY40";0;0;0;0;0;0;0;0;0;0
"19";"VERDY49";0;0;0,104056994986826;0;0,107306261040244;0,21136325602707;0;0,507686449656608;0;0,492313550343392
"20";"VERDY5";0;0;0;0;0;0;0;0;0;0
"21";"VERDY51";0;0;0;0;0,0128906061695672;0,0128906061695672;0;1;0;0
"22";"VERDY52";0,0342641053706856;0;0;0;0,0101292415960734;0,0101292415960734;0,0342641053706856;1;0;0
"23";"VERDY53";0;0;0,0288206845515955;0,0141999853039467;0,180876126931387;0,223896796786929;0;0,807854911401512;0,0634220118721042;0,128723076726384
"24";"VERDY54";0;0;0;0;0;0;0;0;0;0
"25";"VERDY55";0;0;0;0;0,0167453702453429;0,0167453702453429;0;1;0;0
"26";"VERDY6";0;0,708365807251486;0;0;0;0;0;0;0;0
"27";"VERDY65";0,0590618768956462;0;0;0;0;0;0,0590618768956462;0;0;0
"28";"VERDY66";0;0;0;0;0;0;0;0;0;0
"29";"VERDY7";0;0;0;0;0;0;0;0;0;0
"30";"VERDY8";0;0;0;0;0;0;0;0;0;0
"31";"VERDY9";0;0;0;0;0;0;0;0;0;0
