Taxonomy	OTU_name
"Viruses; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 3; human papillomavirus 115O241"	NODE_3_length_989_cov_30.858672
"Viruses; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus sp.; unclassified GammapapillomavirusO273"	NODE_4_length_768_cov_21.172511
"Viruses; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Papillomaviridae_Unclassified; Papillomaviridae_Unclassified_Unclassified; NAO157"	NODE_25_length_517_cov_14.437229
"Viruses; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Papillomaviridae_Unclassified; Papillomaviridae_Unclassified_Unclassified; NAO311"	NODE_5_length_708_cov_27.526799
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; Brome streak mosaic virusO388"	NODE_7_length_1381_cov_89.665158
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; Brome streak mosaic virusO389"	NODE_9_length_1223_cov_101.604452
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO122"	NODE_20_length_842_cov_50.188056
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO152"	NODE_24_length_676_cov_160.198068
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO159"	NODE_25_length_618_cov_41.746004
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO161"	NODE_26_length_613_cov_128.532258
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO171"	NODE_28_length_610_cov_173.812613
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO202"	NODE_31_length_589_cov_38.668539
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO280"	NODE_50_length_563_cov_142.545276
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO43"	NODE_13_length_1026_cov_108.160659
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO87"	NODE_17_length_925_cov_71.714943
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Autographiviridae; Autographiviridae_Unclassified; Autographiviridae_Unclassified_Unclassified; NAO314"	NODE_5_length_795_cov_43.500000
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Autographiviridae; Autographiviridae_Unclassified; Autographiviridae_Unclassified_Unclassified; NAO357"	NODE_7_length_660_cov_27.130579
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Autographiviridae; Autographiviridae_Unclassified; Providencia phage PSTCR2; Providencia phage PSTCR2O358"	NODE_8_length_632_cov_17.126516
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Autographiviridae; Autographiviridae_Unclassified; Providencia phage PSTCR2; unclassified StudiervirinaeO274"	NODE_4_length_830_cov_58.548387
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO103"	NODE_19_length_684_cov_49.160572
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO120"	NODE_20_length_671_cov_56.003247
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO137"	NODE_22_length_647_cov_76.596284
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO145"	NODE_23_length_621_cov_22.471731
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO149"	NODE_24_length_540_cov_15.771134
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO150"	NODE_24_length_616_cov_33.948307
